Iteration	Posterior	Likelihood	Prior	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	rate_log_sd	tree_length	two_beta
0	-10429.68	-10929.98	500.2996	0.56013	0.210763	0.148803	0.0803041	1.353864	1.134737	6.010565	5.337984
6	-10422.41	-10921.34	498.9328	0.476134	0.225757	0.159389	0.13872	1.637934	1.025727	6.678456	5.337984
12	-10441.6	-10942.67	501.0774	0.536096	0.254188	0.0535257	0.15619	1.628535	1.149516	6.017435	3.191345
18	-10426.74	-10928.35	501.6036	0.536096	0.254188	0.0535257	0.15619	1.579401	1.231261	5.707548	3.191345
24	-10415.8	-10915.42	499.62	0.638526	0.0698993	0.0637526	0.227822	1.988098	1.225425	6.086271	5.166268
30	-10413.85	-10914.98	501.13	0.672643	0.0701185	0.0287021	0.228537	1.729749	1.13815	5.638849	4.272757
36	-10389.57	-10889.93	500.363	0.693482	0.0722908	0.0295913	0.204635	1.729749	1.122066	6.173844	3.876467
42	-10415.04	-10915.31	500.2712	0.651525	0.105034	0.062708	0.180733	1.729749	1.138057	6.00535	4.677698
48	-10409.86	-10909.25	499.3866	0.565943	0.091237	0.185828	0.156992	1.405636	1.058968	6.607261	4.969902
54	-10421.09	-10921.56	500.4732	0.606841	0.0644301	0.199257	0.129472	1.550181	1.05059	6.69793	2.415106
60	-10417.7	-10917.25	499.5493	0.604938	0.0392168	0.192479	0.163366	1.593474	1.062608	6.767036	3.666394
66	-10428.49	-10927.43	498.9464	0.580683	0.0551779	0.206621	0.157518	1.730579	1.021398	7.0534	3.666394
72	-10425.4	-10923.13	497.7258	0.651803	0.0481481	0.167743	0.132306	1.784664	1.018994	7.497235	4.372174
78	-10425.29	-10925.61	500.3215	0.495246	0.0365833	0.367643	0.100527	1.286541	1.016186	6.698048	3.078116
84	-10416.43	-10916.48	500.0465	0.552483	0.139254	0.171401	0.136861	1.666842	1.066939	6.640613	3.078116
90	-10413.16	-10914.68	501.5147	0.561901	0.150444	0.142119	0.145536	1.357752	1.09416	6.18774	2.451048
96	-10397.32	-10898.3	500.979	0.547709	0.226421	0.0932965	0.132574	1.423838	1.169522	6.18774	3.089877
102	-10395.59	-10897.05	501.4633	0.552473	0.22839	0.0941081	0.125028	1.462386	1.106854	6.054305	2.744438
108	-10394.96	-10896.74	501.7788	0.486307	0.201037	0.157926	0.154731	1.442951	1.109594	6.054305	2.29044
114	-10399.92	-10901.69	501.7649	0.534297	0.116054	0.220708	0.128941	1.473834	1.254057	5.9684	2.29044
120	-10392.59	-10892.98	500.3989	0.609315	0.0391752	0.204464	0.147046	1.572883	1.103468	6.016492	4.713259
126	-10402.15	-10905.01	502.8581	0.588327	0.0722708	0.197421	0.141981	1.551508	1.31518	4.927082	3.366075
132	-10391.35	-10893.29	501.9458	0.653931	0.0497147	0.138542	0.157813	1.551508	1.231793	5.385602	3.674654
138	-10396.27	-10898.19	501.9144	0.632712	0.0805488	0.134047	0.152692	1.551508	1.263194	5.385602	3.674654
144	-10390.05	-10891.78	501.7327	0.52502	0.22729	0.120988	0.126703	1.68285	1.243792	5.810434	2.518655
150	-10387.85	-10890.15	502.3072	0.526414	0.225238	0.121309	0.127039	1.410338	1.301414	5.46351	2.883029
156	-10390.89	-10891.73	500.8443	0.571888	0.178598	0.131788	0.117726	1.277071	1.154339	6.137237	3.768378
162	-10411.4	-10911.4	499.9973	0.539011	0.119643	0.223246	0.1181	1.735997	1.190493	6.541132	3.16909
168	-10402.39	-10900.27	497.8799	0.567394	0.112277	0.2095	0.110829	1.347624	0.9756273	7.758864	3.904351
174	-10395.42	-10893.67	498.2431	0.574762	0.0984951	0.229518	0.097225	1.452919	0.9868261	7.865919	2.723872
180	-10400.33	-10899.63	499.3051	0.516179	0.137402	0.206125	0.140294	1.446335	1.004383	7.441577	2.301523
186	-10415.96	-10917.68	501.7197	0.463622	0.247476	0.171901	0.117001	1.446335	1.068557	6.124489	2.245434
192	-10405.86	-10906.8	500.9352	0.355261	0.337954	0.217131	0.0896544	1.113779	1.08421	6.546702	2.688639
198	-10403.98	-10906.65	502.6669	0.329667	0.431481	0.121581	0.117271	1.086969	1.169825	6.273824	1.055778
204	-10389.72	-10891.7	501.98	0.352097	0.460838	0.129853	0.0572112	0.9573916	1.157607	6.280667	2.004508
210	-10388.36	-10889.88	501.5203	0.35285	0.459685	0.130131	0.0573336	0.985557	1.086796	6.844153	1.348856
216	-10388.97	-10890.42	501.4483	0.334007	0.404946	0.202735	0.0583117	0.9294337	1.143564	6.844153	1.429644
222	-10393.1	-10893.48	500.3788	0.336536	0.408012	0.20427	0.0511819	1.014789	1.140174	7.023321	2.262645
228	-10397.24	-10897.78	500.5448	0.443332	0.337157	0.148921	0.0705901	1.145843	1.128448	7.023321	1.880121
234	-10417.76	-10918.03	500.2746	0.369418	0.364196	0.154235	0.112152	1.21594	1.064113	6.691929	3.208457
240	-10412.42	-10913.47	501.0491	0.375743	0.370432	0.139753	0.114072	1.12477	1.099675	6.321322	3.140977
246	-10401.28	-10900.57	499.2914	0.4823	0.33499	0.0241586	0.158551	1.301421	1.04102	7.348763	2.722828
252	-10404.69	-10904.61	499.9168	0.519803	0.288749	0.025314	0.166134	1.398564	1.061994	6.956983	2.714636
258	-10406.02	-10906.34	500.3264	0.487103	0.328982	0.0323908	0.151524	1.40947	1.091365	6.542621	3.24426
264	-10383.97	-10885.28	501.3176	0.492586	0.334225	0.0192504	0.153939	1.445082	1.121696	6.263789	2.380498
270	-10387.37	-10888.57	501.1991	0.492586	0.334225	0.0192504	0.153939	1.465648	1.222297	6.263789	2.380498
276	-10395.12	-10896.15	501.0267	0.537009	0.259912	0.037716	0.165364	1.264251	1.146552	6.496489	2.380498
282	-10401.72	-10901.58	499.858	0.575849	0.233665	0.0383206	0.152166	1.667546	1.08646	6.47471	3.949694
288	-10414.97	-10914.72	499.7484	0.607152	0.172544	0.0794321	0.140872	1.416012	1.144074	6.47471	4.499762
294	-10403.87	-10903.65	499.7779	0.565816	0.180012	0.0941388	0.160034	1.631588	1.073144	6.625316	3.650116
300	-10405.79	-10907.32	501.5226	0.517993	0.225103	0.177234	0.0796696	1.631588	1.099125	5.974043	2.66845
306	-10400.88	-10901.6	500.7126	0.54979	0.146719	0.234312	0.0691786	1.706786	1.164424	6.218141	3.049357
312	-10392.15	-10892.43	500.2756	0.581128	0.115314	0.211263	0.0922948	1.129601	1.051732	6.792616	3.049357
318	-10414.49	-10916.72	502.2329	0.565746	0.111435	0.17379	0.149029	1.228283	1.188657	5.602313	3.049357
