Iteration	Posterior	Likelihood	Prior	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	rate_log_sd	tree_length	two_beta
312	-10401.34	-10901.61	500.2679	0.533882	0.295382	0.0553526	0.115384	1.242485	1.141401	6.206299	4.796947
318	-10416.41	-10916.01	499.6032	0.408478	0.465727	0.012571	0.113225	1.290701	1.178567	6.522668	4.796947
324	-10403.11	-10901.67	498.5578	0.535705	0.298978	0.0226716	0.142646	1.232963	1.056223	6.763743	6.759921
330	-10396.03	-10893.85	497.817	0.581068	0.127486	0.0881409	0.203304	1.454913	1.062723	7.355387	5.283143
336	-10416.88	-10914.01	497.1254	0.617481	0.104556	0.0822979	0.195665	1.639029	1.193767	6.260562	13.70645
342	-10401.31	-10899.49	498.1854	0.689211	0.0448872	0.0642607	0.201641	1.845305	1.149506	6.69818	6.417753
348	-10400.44	-10899.79	499.3423	0.568121	0.153027	0.0673902	0.211461	1.845305	1.139559	6.372888	5.039886
354	-10392.91	-10892.89	499.9802	0.441536	0.256099	0.135271	0.167095	1.609971	1.063513	6.912641	2.462267
360	-10401.35	-10903.29	501.9432	0.52082	0.235093	0.112106	0.131982	1.335991	1.189689	5.568666	3.490325
366	-10395.78	-10898.62	502.8349	0.469892	0.212104	0.198928	0.119076	1.313285	1.189689	5.596293	2.036829
372	-10393.76	-10895.24	501.4746	0.469121	0.343266	0.0586957	0.128917	1.438278	1.223061	5.748709	3.519348
378	-10396.61	-10898.73	502.1206	0.403865	0.363898	0.0950431	0.137194	1.44563	1.250408	5.712179	2.497331
384	-10384.34	-10886.52	502.1845	0.421627	0.339724	0.158715	0.0799349	1.077922	1.047277	6.168901	1.993144
390	-10392.2	-10894.14	501.9384	0.393813	0.395344	0.091759	0.119084	1.274496	1.230577	5.839225	2.687315
396	-10399.52	-10901.05	501.5282	0.414055	0.365751	0.0885167	0.131677	1.275506	1.103075	6.458994	1.835146
402	-10403.49	-10905.42	501.9339	0.319856	0.370809	0.191	0.118335	1.093863	1.14541	5.995979	2.646477
408	-10398.72	-10900.82	502.0955	0.486699	0.350408	0.0327469	0.130146	1.442804	1.083388	5.995979	2.036132
414	-10409.92	-10910.2	500.2789	0.467373	0.336494	0.0725599	0.123573	1.39144	1.078741	6.953975	2.171251
420	-10402.46	-10903.72	501.2612	0.459128	0.301912	0.117568	0.121392	1.118745	1.008794	6.598103	2.171251
426	-10400.43	-10900.58	500.1486	0.446537	0.238068	0.238982	0.0764134	1.222113	0.9684349	7.323287	1.785535
432	-10394.88	-10894.78	499.9079	0.454516	0.188962	0.320858	0.0356643	1.162324	1.023851	6.717866	3.970935
438	-10391.67	-10891.85	500.1816	0.487863	0.143057	0.289955	0.0791257	1.132203	1.018576	6.878314	2.991906
444	-10391.17	-10892.61	501.444	0.520388	0.118461	0.309286	0.0518649	1.33936	1.073516	6.065673	2.973443
450	-10405.04	-10907.27	502.2383	0.452852	0.183315	0.321556	0.0422779	1.101528	1.098394	6.29184	1.550156
456	-10395.84	-10897.78	501.9341	0.4418	0.186127	0.325541	0.0465326	1.09052	1.064716	6.41689	1.69214
462	-10392.64	-10894.17	501.5269	0.436967	0.302615	0.214394	0.0460236	1.247685	1.181419	6.493198	1.69214
468	-10403.08	-10904.26	501.1781	0.513121	0.181076	0.251759	0.0540445	1.271314	1.106993	6.288718	2.785377
474	-10406.08	-10907.65	501.5723	0.566158	0.09643	0.277781	0.0596307	1.245748	1.15101	6.227403	2.326799
480	-10405.89	-10907.78	501.8903	0.514869	0.176179	0.252616	0.0563361	1.151445	1.125702	6.071778	2.447148
486	-10410.64	-10911.65	501.0033	0.546388	0.113228	0.271383	0.0690015	1.382679	1.162794	6.333359	2.683555
492	-10399.71	-10900.34	500.6318	0.518555	0.0973535	0.288585	0.0955072	1.455937	1.02507	6.639528	2.498637
498	-10410.35	-10909.43	499.082	0.516614	0.100731	0.287505	0.0951498	1.46181	1.041947	7.392845	2.696143
504	-10400.17	-10900.06	499.8891	0.375226	0.352471	0.207282	0.0650209	1.068996	1.072942	7.296892	2.254682
510	-10395.78	-10897.54	501.7564	0.366575	0.344346	0.220545	0.068534	1.057554	1.060745	6.472606	1.830877
516	-10391.94	-10892.58	500.6406	0.508015	0.269226	0.131259	0.0914993	1.353044	1.022855	6.841246	2.085559
522	-10400.43	-10901.06	500.6344	0.413337	0.327389	0.117694	0.14158	1.25407	1.045853	6.765621	2.387573
528	-10380	-10880.19	500.1897	0.415188	0.328855	0.118221	0.137735	1.25407	1.045853	6.955719	2.524676
534	-10409.03	-10909.31	500.2831	0.43375	0.29501	0.106054	0.165186	1.13049	1.075946	6.709072	3.259555
540	-10397.97	-10896.89	498.9128	0.483245	0.232842	0.180932	0.10298	1.251429	1.020131	6.925941	5.114692
546	-10404.63	-10904.94	500.3027	0.423365	0.331172	0.14707	0.0983931	1.09551	1.02998	7.159557	2.059576
552	-10402.4	-10901.46	499.0645	0.482332	0.295799	0.109772	0.112097	1.281969	1.09161	6.805953	5.047189
558	-10397.73	-10898.8	501.0647	0.462022	0.325451	0.10515	0.107377	1.311705	1.129377	6.205896	3.126806
564	-10401.05	-10902.64	501.5887	0.379859	0.386239	0.106468	0.127433	1.301784	1.128554	6.168471	2.418271
570	-10409.65	-10910.95	501.3037	0.370129	0.376346	0.129355	0.124169	1.050895	1.058845	6.756253	1.751318
576	-10404.95	-10906.12	501.1693	0.256347	0.540936	0.0869906	0.115726	1.050895	1.100638	6.829006	1.699167
582	-10413.63	-10915.88	502.2475	0.325846	0.51205	0.0635475	0.0985556	1.050895	1.19782	6.25118	1.568781
588	-10397.38	-10898.88	501.5006	0.430577	0.329115	0.147042	0.0932668	1.077466	1.122486	6.51044	1.966578
594	-10390.04	-10891.45	501.4142	0.306768	0.424988	0.198276	0.0699684	0.941743	1.092093	6.793783	1.624029
600	-10396.11	-10898.27	502.1613	0.294743	0.425603	0.153304	0.126349	1.065951	1.113215	6.324104	1.59467
606	-10390.74	-10891.69	500.9507	0.36202	0.450202	0.0828783	0.104899	1.01882	1.114781	6.939064	1.738749
612	-10385.81	-10888.23	502.4202	0.396157	0.426113	0.0784437	0.0992865	1.121397	1.250445	5.929997	1.936648
618	-10395.67	-10897.09	501.4263	0.302493	0.515786	0.0821656	0.0995555	0.929507	1.185683	6.730364	1.653259
624	-10397.34	-10901.44	504.1018	0.311625	0.531358	0.0544556	0.102561	1.051654	1.200447	5.237944	1.559291
630	-10383.92	-10887.54	503.6164	0.39808	0.416925	0.0539806	0.131015	1.161746	1.231399	5.237944	1.994916
636	-10406.84	-10910	503.1586	0.50014	0.327481	0.0502993	0.12208	1.510632	1.228542	5.275579	2.097913
642	-10398.47	-10900.79	502.3244	0.457049	0.286251	0.0398167	0.216883	1.510632	1.228403	5.528313	2.645175
648	-10400.07	-10902.42	502.3489	0.455428	0.285236	0.112067	0.147269	1.371064	1.154834	5.615245	2.665861
654	-10404.13	-10906.44	502.3015	0.466477	0.292156	0.114785	0.126581	1.238462	1.174136	5.810726	2.353689
660	-10406.16	-10907.39	501.2308	0.415584	0.32097	0.150676	0.112771	1.050496	1.072342	6.609731	2.187944
666	-10400.06	-10900.93	500.8698	0.416167	0.277742	0.193021	0.11307	1.246401	1.110888	6.396989	2.994429
672	-10392.91	-10894.5	501.5847	0.400173	0.388229	0.105846	0.105753	1.253638	1.169964	6.188682	2.373985
678	-10408.1	-10909.99	501.8926	0.402202	0.390197	0.0880885	0.119512	1.00043	1.170338	6.251065	2.120721
684	-10411.88	-10913.13	501.2449	0.402202	0.390197	0.0880885	0.119512	1.243656	1.079538	6.623615	1.876459
690	-10431.32	-10933.15	501.8292	0.310898	0.498615	0.0313788	0.159108	1.028644	1.159195	6.618172	1.342282
696	-10408.85	-10911.38	502.5287	0.285169	0.469077	0.0998125	0.145941	1.017428	1.125114	6.166009	1.546752
702	-10411.47	-10914.48	503.011	0.347394	0.428245	0.091124	0.133237	0.9589551	1.140959	5.928945	1.54142
708	-10398.17	-10901.24	503.0702	0.331404	0.438738	0.0933567	0.136502	0.9361645	1.15338	5.928945	1.484933
714	-10419.29	-10921.31	502.0216	0.336952	0.433188	0.119534	0.110326	0.9155335	1.083307	6.26712	2.140401
720	-10384.68	-10886.77	502.0976	0.389539	0.354451	0.138245	0.117766	1.101693	1.156707	6.07443	2.166907
726	-10408.24	-10910.92	502.6723	0.382326	0.34213	0.200824	0.074721	1.096364	1.180625	6.054232	1.463661
732	-10404.02	-10905.25	501.2316	0.372006	0.389569	0.118562	0.119864	1.230874	1.093854	6.538077	2.100761
738	-10412.19	-10913.17	500.9873	0.463551	0.225222	0.235707	0.0755201	1.360821	1.114749	6.538077	2.245786
744	-10418.56	-10920.31	501.7448	0.456469	0.224362	0.245141	0.0740278	1.242847	1.085869	6.547982	1.433592
750	-10408.96	-10910.07	501.114	0.479389	0.214901	0.234804	0.0709062	1.123742	1.049142	6.682657	2.09633
